영단어,동의어,단어뜻,예문,예문뜻
cash,,"현금, 돈",I'd like to return this shirt and I want cash.,이 셔츠를 반납하고 현금을 돌려받고 싶어요.
succeed,,성공하다; 번성하다; 계승하다; 상속하다,Everyone knows that you will succeed in your new position.,모두가 당신이 새로 시작한 자리에서 성공하리라 생각하고 있다.
succeed,,성공하다; 번성하다; 계승하다; 상속하다,Elizabeth succeeded Mary as Queen.,Elizabeth가 Mary의 뒤를 이어 여왕이 되었다.
succeed,,성공하다; 번성하다; 계승하다; 상속하다,He succeeded to his father’s estate.,그는 아버지의 재산을 상속했다.
bare,"naked, nude",발가벗은; 텅 빈; 있는 그대로의,I don´t have enough money to buy the bare necessities of life.,최소한도의 생활에 필요한 물품을 살 돈도 없다.
account,"explanation, report","설명, 보고; 계좌, 계정; 셈; (동) 설명하 다; 생각하다; 원인이 되다",The money will be deposited directly into your bank account.,돈은 당신의 은행 계좌에 곧바로 입금될 것입니다.
account,"explanation, report","설명, 보고; 계좌, 계정; 셈; (동) 설명하 다; 생각하다; 원인이 되다",I will account for the incident.,내가 그 사건에 대해 설명하겠다.
incentive,encouragement,"격려, 자극; 장려금, 보상금 ; (형) 자극적 인; 격려하는, 보상의",Offering cash incentives is an effective way to increase employee productivity.,상금 제도는 직원의 생산성을 향상시켜 주는 효과적인 방법이다.
impact,collision; influence,"충돌, 충격; (동) 충격을 주다; 영향을 미 치다",Economic policy has had a profound impact on women.,경제 정책은 여성들에게 매우 큰 영향을 미쳐 왔다.
durable,"strong, long-lasting","튼튼한, 내구력이 강한",The new compound is very durable and can withstand extreme operating temperatures.,새로운 화합물은 내구력이 뛰어나고 극한의 온도에서도 견딜 수 있다.
superfluous,excessive,"여분의, 과잉의 ; 불필요한",I won't bother you with all the superfluous details.,불필요한 세부 내용들로 당신을 귀찮게 하지 않을 것이다.
impose,,"(세금 .의무 등을) 부과하다, 지우다; 강요하다",A new tax has been imposed on land.,새로운 조세가 토지에 부과되었다.
supervise,,"관리하다, 감독하다",He had supervised one of his company's warehouses for two years.,그는 2년 동안 회사 창고 중의 하나를 감독했었다.
abundant,"plentiful, rich","(자원 등이) 풍부한, 풍족한",Aluminum is the most abundant metal in the earth's crust.,알루미늄은 지각에서 가장 풍부한 금속이다.
recall,,"상기시키다, 회상하다; (물건을) 회수하다",I can't recall his name.,나는 그의 이름이 생각나지 않는다.
recall,,"상기시키다, 회상하다; (물건을) 회수하다",Defective cars were all recalled.,결함이 있는 차들은 모두 회수되었다.
gather,"collect, assemble","모으다, 모이다",A crowd gathered outside the new store in anticipation of the opening day sale.,인파가 개업 세일을 기대하고 새로 생긴 상점 밖에 몰려들었다.
stuff,material,"재료, 원료; 물건, 물질",We have so much stuff in this storage closet we never use.,이 창고 안에 쓰지도 않는 물건들이 너무 많다.
client,,"고객, 단골, (변호사 등의) 의뢰인",He is going to meet with an important client.,그는 중요한 의뢰인과 만날 예정이다.
drain,,"배수하다; 고갈시키다; (명) 배수로, 하수로",The ground is well drained.,그 땅은 배수가 잘 된다.
calculate,"count, evaluate","계산하다; 추정하다, 평가하다",How should we calculate our prices?,우리 제품 가격을 어떻게 산정할까요?
authentic,genuine,"진정한, 진짜의, 확실한","Let us know of your authentic opinion on their credibility, business experience.","그들의 신용, 사업 경험에 대해 당신의 믿을만한 의견을 주세요."
duty-free,,"세금 없는, 면세의",I have to buy some gifts for my family at a duty-free shop in the airport.,나는 공항 면세점에서 가족에게 줄 선물을 좀 사야 됩니다.
transfer,,"옮기다, 전달하다; 양도하다; (명) 이전, 양도",The ownership of the house was transferred to him.,그 집의 소유권은 그에게로 넘어갔다.
merge,,"합병하다, 병합하다",Did you hear that the two companies were going to merge?,그 두 회사가 합병할 것이라는 소식을 들었습니까?
discredit,,"신용을 떨어뜨리다; (명) 불신, 불명예",His theories were largely discredited by other scientists.,그의 이론들은 대부분이 다른 과학자들로부터 불신을 받았다.
sum,"amount, total","총액, 총계, 합계; 개요",The traveler carried a large sum of money.,그 여행자는 많은 돈을 소지하고 있었다.
ownership,possession,소유권,They had no idea of private ownership.,그들은 사유 재산이란 것이 뭔지도 몰랐다.
treasury,,"국고; 자금, 기금; 보물",The National Treasury will provide the education expenses.,교육비는 국고에서 부담할 것이다.
universe,,"우주; 만물; (전) 세계, 전 인류",Most astronomers agree that the expanding universe can only have one explanation.,천문학자들은 대부분 우주의 팽창을 한 가지로만 설명할 수 있다고 생각한 다.
space,,"우주; 공간; 장소, 여지",It is estimated that millions of galaxies exist in the vast space outside the Milky Way.,은하수 바깥의 거대한 우주 공간에 수백만의 은하계들이 존재한다는 것이 추정된다.
galaxy,,"은하, 은하수; 은하계",A galaxy is a giant family of millions of stars.,하나의 은하계는 수백만의 별들로 구성된 하나의 거대한 가족이다.
cosmos,,"우주, 천지 만물; 질서, 조화; 코스모스 (식물)",Our world is a small part of the cosmos.,우리의 세계는 우주에서도 조그만 일부분에 불과하다.
chaos,,"혼돈; 무질서, 대혼란","The government fears that the truckers may block roads and ports, causing chaos.",정부는 화물차 기사들이 도로와 항만을 봉쇄하고 혼란을 야기하는 것을 우 려하고 있다.
planet,,행성; 지구,"Mercury, Venus, Earth, Mars, Jupiter and Saturn are all planets.","수성, 금성, 지구, 화성, 목성, 토성은 모두 행성이다."
rotate,"revolve, spin",회전하다[시키다]; 순환하다[시키다],The earth rotates on its axis.,지구는 자전을 한다.
revolve,spin,회전[공전]시키다; 회전하다,The earth revolves on its axis while revolving around the sun.,지구는 태양 주위를 공전하면서 동시에 자전한다.
astronaut,,우주 비행사,The training that astronauts receive teaches them how to withstand the hazards of space exploration.,우주 비행사들이 받는 훈련은 우주 탐험의 위험을 견디는 방법을 그들에게 가르쳐 준다.
astronomy,,천문학,Navigation is an application of astronomy.,항해술은 천문학을 응용한 것이다.
radiant,,"빛을 내는, 빛나는; (명) 발광체",His face is radiant with a great hope.,큰 희망에 그의 얼굴이 빛난다.
astrology,,"점성학, 점성술",I think blood types and astrology are nonsense.,혈액형과 별자리로 성격이나 운세를 말하는 것은 난센스(터무니없는 것)이 라고 생각한다.
precise,"exact, accurate; strict","정확한, 정밀한",The plants are getting water and nutrients in precise amounts.,이 식물은 적정량의 물과 양분을 공급받고 있다.
advance,progress,"진보, 향상; (동) 나아가다, 전진하다, 진보[향상]하 다",Science has made remarkable advance.,과학은 현저한 진보를 이룩했다.
aircraft,,항공기,"No one was aboard the aircraft at the time, and no injuries were reported.",당시 비행기에는 아무도 타고 있지 않아서 부상자는 없는 것으로 전해졌다.
launch,,"발사하다; (배를) 진수시키다; 시작[착수]하다, 일으키다",For the first time a satellite was launched into orbit.,처음으로 인공위성이 궤도를 향해 발사되었다.
launch,,"발사하다; (배를) 진수시키다; 시작[착수]하다, 일으키다",The two countries launched the FTA talks in Washington in early June.,한미 양국은 6월초 워싱턴에서 FTA 협상을 시작했다.
explode,blow up,"폭발하다, 파열하다",The gas can explode if It meets a flame.,가스는 불꽃을 만나면 폭발할 수 있다.
comet,,혜성(彗星),Halley's Comet comes round once every 76 years.,핼리 혜성은 76년마다 한 번 찾아온다.·
accurate,precise,"정확한, 한 치의 오차도 없는",Our science teacher is a pretty accurate weather forecaster.,우리 과학 선생님은 아주 정확한 기상 캐스터이다.
discover,"find out, realize","발견하다, 깨닫다; 알아채다",Scientists have discovered many new atomic particles.,과학자들은 새로운 원자 입자를 많이 발견했다.
satellite,,위성; 인공위성; 위성 도시,They injected the satellite into its orbit.,그들은 인공위성을 궤도에 쏘아 올렸다.
satellite,,위성; 인공위성; 위성 도시,The moon we see at night is Earth's only satellite.,우리가 밤에 보는 달은 지구의 유일한 위성이다.
globe,,"지구, 세계; 구(球), 구체(球體); 천체 a.global 지구 전체의, 세계적 인",It circles the globe high in the atmosphere.,그것은 대기권 높은 곳에서 지구를 순환한다.
telescope,,망원경,Lunar craters can be plainly seen with the aid of a small telescope.,달의 분화구는 망원경으로 선명하게 볼 수 있다.
solar,,"태양의, 태양에 관한",The earth is the sole planet in the solar system that has appreciable amounts of oxygen gas in its atmosphere.,지구는 그 대기에 상당한 양의 산소를 가지고 있는 태양계의 유일한 행성 이다.
lunar,,"달의, 태음(太陰)의",The Buddha's Birthday is April 8 by the lunar calendar.,석가 탄신일은 음력으로 4월 8일이다.
orbit,,궤도; (동) 궤도에 진입하다; 궤도를 그리며 돌다,The Earth orbits the sun in an ellipse.,지구는 타원형의 궤도를 그리며 태양 주위를 돈다.
gravitation,,"인력, 중력; 경향, 추세","Newton found that the planets, including the Earth, go around the sun by what he called the law of gravitation.",뉴턴은 지구를 포함한 행성들이 그가 이름붙인 '중력의 법칙'이라는 것에 의해 태양의 주위를 돈다는 것을 알아냈다.
gravity,,"중력, 지구 인력; 무게; 중대함","Even though the universe continues to expand, the force of gravity is working the other way.","비록 우주는 계속 팽창하고 있지만, 중력은 그 반대 방향으로 작용한다."
observatory,,"천문[기상, 관상]대; 관측소",Astronomers around the world are thinking of a new place for their observatories the moon.,전 세계의 천문학자들이 관측소로 쓸 새로운 장소로 달을 생각하고 있다.
meteor,falling star,"유성(流星), 별똥별; 운석","On clear nights, meteors often can be seen streaking across the sky.","밤하늘이 맑을 때, 유성이 길게 하늘을 가로지르는 것을 종종 볼 수 있다."
beast,,동물; 짐승; 금수(禽獸),The lion is sometimes called the king of the beasts.,사자는 종종 동물의 왕이라고 불린다.
prey,,먹이,Tigers normally attack their prey from behind.,호랑이는 보통 뒤쪽에서 먹이를 공격한다.
whale,,고래,Whales are classified as mammals.,고래는 포유동물로 분류된다.
dinosaur,,공룡,Dinosaurs have been extinct for millions of years.,공룡들은 수백 만 년 전에 멸종되었다.
reptile,,파충류,"Snakes, lizards, and crocodiles are reptiles.","뱀, 도마뱀, 악어는 파충류이다."
hawk,,"매; 강경론자, 매파(派)",A hawk flew with flaps of the wings in the sky.,매가 날갯짓하며 날아갔다.
bark,,"(개, 여우 등이) 짖다; 고함을 치다; (명) 나무껍질",The dog barked every night.,그 개는 밤마다 짖는다.
insect,bug,곤충; (일반적) 벌레,The wasp is an insect with a very thin middle.,말벌은 매우 가는 허리를 가진 곤충이다.
lizard,,도마뱀,The lizard regenerated its broken tail.,그 도마뱀은 잘려진 꼬리를 재생시켰다.
feather,,"깃털, 깃",Feathers help the birds fly and help them hide from their enemies.,깃털은 새들이 날 수 있게 도와주며 적들로부터 새들이 숨도록 돕는다.
female,,"여성, 여자; 암컷; (형) 여성의, 암컷의",The cross between a male lion and a female tiger is a liger.,사자와 암범을 교배시킨 것이 라이거이다.
male,,"남성, 남자; 수컷; (형) 남성의, 수컷의",In most animals the male is bigger than the female.,대부분의 동물들에 있어서 수컷이 암컷보다 크다.
herd,flock,"가축의 떼, 무리; (동) 무리를 지어 가다",A herd of deer are feeding on grass.,한 떼의 사슴이 풀을 뜯고 있다.
mosquito,,모기,I couldn't fall asleep because of the noise of mosquitoes.,모기가 윙윙거려 잠을 잘 수가 없었다.
lamb,,"어린 양; 유순한 사람, 천진난만한 사람",He is as innocent as a lamb.,그 사람은 양처럼 순한 사람이에요.
tame,domesticated,"길든, 길러서 길들인; 유순한","African elephants are fiercer, larger, and more difficult to tame than Asian elephants.","아프리카코끼리는 아시아코끼리보다 더 사납고, 더 크고, 더 길들이기 힘들 다."
mammal,,포유동물,Thousands of mammals and birds die each year by swallowing plastic rings.,매년 수 천 마리의 포유동물과 새들이 플라스틱 고리를 삼켜서 죽는다.
alert,"attentive, watchful","경계하는, 조심하는; 재빠른",The three cats are alert and watchful.,세 마리의 고양이가 경계를 하고 있다.
specimen,"sample, model",견본; (동식물의) 표본; 예,There were specimens of several endangered plants on display at the botanical gardens.,그 식물원에는 몇몇 멸종 식물들의 표본이 전시되고 있었다.
roar,,으르렁거리다; 고함치다; 외치다,The crowd roared when he caught the ball.,관중들은 그가 공을 잡자 고함을 질렀다.
bite,,"물다, 물어뜯다",I scratched the place where the mosquito bit me.,모기 물린 곳을 긁었다.
brute,,"짐승, 동물; 짐승 같은 사람; (형) 짐승 같은, 잔인한; 야만적인",Men differ from brutes in that they can think and speak.,사람은 생각하고 말할 수 있다는 점에서 짐승과 다르다.
crocodile,,(아프리카·아시아 산의) 악어,Both the crocodile bird and the crocodile derive benefit from their symbiosis.,악어새와 악어는 공생으로 서로 이익을 얻는다.
hatch,,부화하다; (명) 부화; 승강구,It takes three weeks for eggs to hatch.,부화하는 데 3주 걸린다.
lick,,(혀로) 핥다,The cat licked the plate clean.,고양이가 접시를 말끔히 핥았다.
shark,,상어; 탐욕스러운 사람,"After people saw the movie Jaws, many of them became more afraid of sharks and wanted to kill sharks.","‘조스’라는 영화를 본 다음부터 많은 사람들이 상어를 더욱 두려워하게 되 었고, 상어를 죽이고 싶어 했다."
aquarium,,수족관,I have a gold fish in my aquarium.,난 수족관에 금붕어를 키우고 있어요.
flock,"herd, group; crowd","무리, 떼",The eagles work in pairs to separate a young crane from the flock.,독수리는 쌍으로 움직여 어린 두루미를 무리에서 떼어 놓습니다.
 parasite,,"기생 동[식]물, 기생충[균]",This common parasite is easily killed using modern medicines.,흔히 발견되는 이 기생충은 현대 의약품으로 쉽게 없앨 수 있다.
poultry,,(식용(食用)의) 가금(家禽)(집합적; 복수 취급),The first avian flu outbreak disrupted the region's poultry industry.,조류 독감이 처음 발생했을 당시 이 지역의 가금류 산업은 막대한 손해를 입었다.
blossom,,"(과수의) 꽃; 개화, 만발; 개화기; (동) 꽃을 피우다; 피다; 번영하 다",The cherry blossoms bloomed so early this year.,올해는 벚꽃이 일찍 폈다.
shade,shadow,"그늘, 응달, 그늘진 곳",I took a nap on the bench under the shade of trees.,시원한 그늘 밑 벤치에서 낮잠을 잤다.
shadow,shade,"그림자, 투영(投影); 그늘","During an eclipse of the Sun, the Earth lies in the shadow of the Moon.",일식 동안에 지구는 달의 그림자에 놓인다.
bud,,"싹, 눈; 봉오리; (동) 싹이 트다",The willows were bursting out in young buds.,버드나무의 어린 싹이 움트고 있었다.
seed,,"씨(앗), 종자, 열매",How many watermelon seeds come in one packet?,한 봉지에 수박 종자가 몇 개나 들어있죠?
branch,,"가지; 분파; 지류(支流); 지부, 지점",The light was suspended from the branch of the tree.,나뭇가지에 등이 매달려 있었다.
bough,,큰 가지,He held a bough from the pear tree.,그는 배나무 가지를 잡았다.
twig,,"잔가지, 가는 가지",Dry twigs are good to start a fire with.,마른 잔가지는 불 지피기에 좋다.
bush,,"관목 숲, 덤불",A bird in the hand is worth two in the bush.,수중에 있는 새 한 마리가 수풀 속의 새 두 마리의 가치가 있다.(속담)
wither,,"시들다, 시들어 죽다; (색이) 바래다",Plants wither from lack of water.,식물은 물이 부족하면 시들어 죽는다.
pollen,,"꽃가루; (동) 수분하다, (꽃)가루받이하다",I am allergic to pollen.,나는 꽃가루 알레르기가 있다.
peel,,(과일 등의) 껍질을 벗기다; 벗겨내다; (명) (과일의) 껍질,Do we need to peel this before eating it?,이거 껍질을 벗겨서 먹어야 되나요?
mushroom,,버섯; 양송이,"Now you can get it with seafood, beef and vegetable, tuna, and oysters and mushrooms.","이제 해산물, 쇠고기, 야채, 참치, 굴, 버섯 등을 넣은 것도 있어."
stalk,,"줄기, 대, 잎자루; (동) 활보하다; 몰래 추적하다; 살그머니 접근하 다",The stalks of corn are stems.,옥수수 대는 줄기이다.
stalk,,"줄기, 대, 잎자루; (동) 활보하다; 몰래 추적하다; 살그머니 접근하 다",He moved like a tiger stalking its prey.,그는 먹이를 사냥하려고 다가가는 호랑이처럼 움직였다.
moss,,이끼(로 덮다),The rocks near the river were covered with moss.,강 근처의 바위들은 이끼로 덮여 있었다.
cactus,,선인장,The blossomed cactus were very beautiful.,꽃이 핀 선인장들이 매우 아름다웠다.
trunk,,(나무의) 줄기; (코끼리의) 코; 큰 여행 가방; (자동차의) 트렁크,The car hit a tree trunk.,차가 나무를 들이 받았다.
trunk,,(나무의) 줄기; (코끼리의) 코; 큰 여행 가방; (자동차의) 트렁크,An elephant can give itself a bath with its trunk.,코끼리는 자신의 코로 스스로 목욕을 할 수 있다.
trunk,,(나무의) 줄기; (코끼리의) 코; 큰 여행 가방; (자동차의) 트렁크,Would you please open the trunk so I can get my luggage out?,짐 좀 꺼내게 트렁크 문 좀 열어주시겠어요?
thorn,,(식물의) 가시; (동물의) 가시털,There is no rose without a thorn.,가시 없는 장미는 없다.
stem,,"줄기, 대; 꽃자루","In the process of photosynthesis, roots, stems, and leaves of green plants work together to make sugar from sunlight.","광합성 과정에서 식물의 뿌리, 줄기, 잎은 햇빛으로부터 당분을 얻기 위해 함께 작용한다."
ripe,,익은; 원숙한,The barley is ripe and golden.,보리가 누렇게 익었다.
scatter,"spread, disperse","흩뿌리다, 뿌리다; 흩어지다",Blossoms are scattered by the wind.,꽃이 바람에 흩어진다.
vine,,"덩굴, 덩굴식물; 포도나무",A grapevine is a vine that grapes grow on.,포도덩굴은 포도가 자라는 줄기(덩굴)이다.
botany,,식물학,He majored in botany at the university.,그는 대학에서 식물학을 전공했다.
reproduce,,재생하다; 복제하다; 번식시키다,Most plants reproduce by seed.,대부분의 식물은 종자에 의해 번식한다.
shrub,,관목,Don’t go through another summer of envying your neighbor’s lovely lawn and shrubs.,이웃집의 멋진 잔디와 관목을 부러워하며 또 한 여름을 보내지 마십시오.
organism,,유기체[물]; 생물(체),"All organisms, regardless of their complexity, begin as a single cell.","모든 유기체는, 그들의 복잡성에 관계없이, 한 개의 세포로서 시작한다."
weed,,잡초; 해초,I cut the weeds around my mother's grave yesterday.,나는 어제 어머니 산소를 벌초했다.
fertilizer,,(화학) 비료,South Korea has already supplied 150 thousand tons of fertilizer to the North this year.,한국은 이미 올해 15만 톤의 비료를 북한에 공급한 바 있다.
sterile,barren,"메마른, 불모의; 흉작의; 자식을 못 낳는, 불 임의 v.sterilize 불모로 되게 하다; 불임시키다; 살균하다",The field is too sterile to yield anything.,이 밭은 토박해서 아무것도 할 수 없다.
timber,,"재목, 목재; 삼림, 숲",Elephants are sometimes used for hauling timber.,코끼리가 때로는 목재를 끌어올리는 데 이용된다.
history,,역사; 사실(史實); (역)사학,"History illuminates reality, vitalizes memory, and brings us tidings of antiquity.","역사는 현실을 비춰주고 기억력을 튼튼하게 해주며, 우리에게 고대의 소식 을 가져다준다."
kingdom,,"왕국, 왕토; 왕정(王政)",Its name came from a kingdom of ancient Korea.,이것의 이름은 고대 한국의 한 왕국에서부터 전해져 내려왔다.
empire,,제국; 제왕의 주권,At that time the Roman Empire was at the zenith of its power.,그 당시 로마 제국은 극성기에 있었다.
primitive,,"원시 (시대)의; 원시적인, 야만의; 구식의; (명) 원시인","In primitive societies, people had to fight wild beasts, not only for self-defense, but also for food.",원시 사회에서 사람들은 자기 방어뿐만 아니라 먹을 것을 얻기 위하여 짐 승들과 싸워야했다.
ancient,,"고대의, 옛날의; 오래된",The ancient Egyptians knew ways to preserve dead bodies from decay.,고대 이집트인들은 시체를 썩지 않도록 보존하는 방법들을 알고 있었다.
dynasty,,"왕조; 명가(名家), 명문",The Joseon dynasty was founded in 1392.,조선 왕조는 1392년에 세워졌다.
ruin,"remains, destruction","(보통 pl.) 폐허; 유적; 파 멸, 멸망; (동) 황폐하게 하다, 파멸시키다",They accidentally discovered the ruins while working in Mexico.,그들은 멕시코에서 탐사 도중 우연히 유적을 발견했다.
era,"period, age","연대, 시대; 기원","In this era of economic wars, national interest is the name of the game.",오늘날과 같은 경제 전쟁 시대에는 국익이 문제의 핵심이다.
epoch,period,(중요한 사건이 일어났던) 시대; 획기적 시대,The glacial epoch lasted for thousands of years.,빙하기는 수천 년 동안 계속되었다.
period,,"기간, 기(期); 시대 ; 마침표","You can find the remains and temples of the old Silla period, wherever you go.",당신은 어디를 가나 옛 신라 시대의 유물과 사찰들을 볼 수 있을 것이다.
modern,,"현대의, 현대적인, 근대의",The Renaissance marks the beginning of modern civilization.,르네상스는 근대 문명의 시초를 나타낸다.
archaeology,,고고학,Through archaeology people can know the life of the past.,고고학을 통해 사람들은 과거의 생활상을 알 수 있다.
civilization,,"문명, 문화; 문명화","Civilization resulted from the ability of human beings to control fire, cultivate crops, and build permanent homes.","문명은, 불을 다루고, 농작물을 경작하고, 영구적인 집을 짓는 인간의 능력 으로부터 생겨났다."
tribe,race,"부족, 종족",The tribe has hunted whales for thousands of years.,그 부족은 수천 년 동안 고래를 사냥해 왔다.
slave,,노예; 노예같이 일하는 사람,A famous historian has said that slavery was an evil that degraded not only the slave but also the slaveholder.,한 유명한 역사가가 노예 제도는 노예뿐만 아니라 주인도 타락시키는 악이 라고 말했다.
decade,,10년간; 10; 열 개 한 벌,The change took place in the last decade of the twentieth century.,변화는 20세기의 마지막 10년간에 일어났다.
century,,"1세기, 100년",The legend of King Arthur has persisted for nearly fifteenth centuries.,아서 왕의 전설은 거의 15세기 동안이나 지속되어 왔다.
colony,,식민지,Once India was a colony of England.,한때 인도는 영국의 식민지였다.
monarch,,"군주, 주권자, 제왕",The monarch won wide admiration from his people.,그 군주는 백성의 칭송이 자자하였다.
medieval,,"중세의, 중세풍의",This church is an example of medieval architecture.,이 교회는 중세 건축의 본보기이다.
memorial,monument,"기념물, 기념관, 기념비; (형) 기념의",She is expected to visit a Holocaust memorial in Jerusalem.,그녀는 예루살렘에 있는 유대인 대학살 기념관도 방문할 것으로 보인다.
contemporary,,"동시대의, 현대의; 동시의",He was contemporary with Lincoln.,그는 링컨과 같은 시대의 인물이었다.
feudalism,,봉건 제도,Feudalism is the social system that existed during the Middle Ages in Europe.,봉건 제도는 유럽 중세 시대에 존재했던 사회 체제이다.
restore,"revive, refresh","복구하다, 회복하다, 부흥하다",Law and order were quickly restored after the riots.,폭동 후에 법과 질서가 빠르게 회복되었다.
emigrate,move abroad,"(다른 나라로) 이주하다, 이민하다",A large number of people emigrated from Europe in the 19th century.,많은 사람이 19세기에 유럽에서 이주했다.
immigrate,,"(다른 나라에서) 이주하다, 이민하다",Thousands of people immigrated to the United States each year.,수천 명의 사람들이 매년 미국으로 이민 왔다.
antique,,"골동품, 고미술품; (형) 고미술의, 옛날의",She collects antiques in a small way.,그녀는 소규모로 골동품을 수집한다.
rebel,"resist, disobey","반역하다, 반란을 일으키다",Citizens rebelled against the worsening economic crisis.,시민들은 점점 악화되는 경제 위기에 대항하여 반란을 일으켰다.
conquer,,"정복하다, 극복하다",The Normans conquered England in 1066.,노르만 족은 1066년에 잉글랜드를 정복했다.
subdue,,"정복하다, 진압하다; 완화시키다",It would be best to subdue them with a strong hand.,힘으로 그들을 정복하는 방법 밖에 없습니다.
prehistory,,선사 시대; 선사학(先史學),Every human being at every stage of history or prehistory is born into a society and from his earliest years is moulded by that society.,역사의 모든 단계 또는 선사 시대에서도 모든 인간은 사회 속으로 태어나 고 또 아주 어린 나이에서부터 사회에 의해 틀이 만들어진다.
tomb,grave,"무덤, 묘(墓 )",Ancient tombs show that the ones made of feathers were in use even before the 4th century.,고대 고분을 보면 깃털로 만든 것들이 이미 4세기 이전에 쓰였음을 알 수 있다.
weapon,,무기; 공격 수단; (동) 무장하다,Modern weapons have an extremely high destructive force.,현대 무기는 엄청난 파괴력을 지니고 있다.
castle,,"성, 성곽",The knight received a royal command to go to the castle.,그 기사는 성으로 가라는 왕의 명령을 받았다.
warrior,"soldier, fighter","전사(戰士), 무인; 역전의 용사",The warrior was axed to death.,전사는 도끼에 맞아 죽었다.
remain,,"여전히 ~이다; 남다, 잔존하다; (명) (보통 pl.) 나머지; 유물, 유적",The experts remain doubtful that the leader was a vegetarian.,전문가들은 그 지도자가 채식주의자였는지에 대한 의혹을 지금도 풀지 못 하고 있다.
truth,,"진실, 진리, 성실",I saw universal truths in their simple lives.,나는 그들의 소박한 삶에서 보편적인 진리를 보았다.
treasure,,보물; (동) 소중히 하다,They discovered where the treasure was buried.,그들은 어디에 보물이 묻혀 있는지를 알아냈다.
dig,,"파다, 캐내다, 발굴하다",An old Roman coin was dug up here last year.,지난해 여기서 옛 로마 동전이 발굴되었다.
tale,,"이야기, 설화",The tale has passed into local legend.,그 이야기는 고장의 전설이 되었다.
oath,"promise, vow","맹세, 서약",I will carry out this oath to the best of my ability and judgment.,나의 능력과 판단력을 다해 이 서약을 지킬 것을 맹세합니다.
irony,,빈정댐; 풍자; 아이러니,Life is full of ironies.,인생은 모순으로 가득 차 있다.
trace,track,"자취, 흔적, 발자국 ; (동) 추적하다",No traces of the temple are now visible.,그 절은 형태도 남아 있지 않다.
trace,track,"자취, 흔적, 발자국 ; (동) 추적하다",The custom can be traced back to the feudal period.,그 풍습의 기원은 봉건 시대부터 시작된다.
track,trace,"자취, 흔적; 선로; (경기장의) 트랙; (동) 추적하다",There were tire tracks in the snow.,눈에 바퀴 자국이 있었다.
vanish,"disappear, fade","사라지다, 없어지다, 소멸하다",The event vanished from memory.,그 사건은 (사람들의) 기억에서 사라져 갔다.
throne,,"왕좌, 왕위, 왕권; 군주","When the king died, his eldest son succeeded to the throne.",왕이 죽자 그의 장자가 왕위를 계승했다.
knight,,"기사, 무사",The knights swore an oath of loyalty to their king.,기사들은 왕에게 충성할 것을 맹세하였다.
craft,,기교; 공예,They applied modern techniques to a traditional craft.,그들은 전통 공예에 현대적인 기술을 적용했다.
temporary,short-term,"일시적인, 임시의",His retreat from politics was only temporary.,그의 정계 은퇴는 단지 한시적이었다.
suppress,"conquer, subdue","억압하다, 진압하다",He warned that British troops were coming to suppress the colonists.,그는 영국군이 식민지인들을 진압하러 오고 있다고 경고했다.
eternal,"everlasting, endless","영원한, 끝없는, 불변의",This is an eternal truth.,이것은 불변의 진리이다.
decline,"refuse, reject; weaken","거절하다; 기울다, 쇠퇴하 다; (명) 쇠퇴; 하락",Poverty is declining among the aged.,노인층의 빈곤이 점점 줄어들고 있다.
migrate,move,"이주하다, 이동하다",Pioneers migrated to all parts of the United States.,개척자들은 미국 전역으로 이주했다.
amaze,,몹시 놀라게 하다,He was amazed at the sight.,그는 그 광경에 놀랐다.
flourish,"prosper, thrive","번창하다, 융성하다; 무성하게 자라다",Few businesses are flourishing in the present economic climate.,현재의 경제 환경에서는 번창하는 사업이 거의 없다.
thrive,"prosper, flourish","번영하다, 번창하다",Newly discovered evidence suggests that birds thrived alongside the dinosaurs many millions of years ago.,"새로 발견된 증거에 의하면, 수백만 년 전에는 새들이 공룡들과 함께 번성 했음을 알 수 있다."
donate,,"기부하다, 기증하다",A local firm donated ancient pottery to us.,한 지역 회사가 우리에게 고대 도자기들을 기증했다.
innovate,,"혁신하다, 쇄신하다",Korea must get rid of the regulations that restrict innovation.,한국은 혁신을 제한하는 법안들을 없애야 한다.
momentary,,"순식간의, 순간적인; 덧없는",This inner beauty lasts much longer than momentary attractions.,이 아름다움은 순간적인 매력보다 훨씬 더 오래 지속된다.
chronology,chronicle,"연대학; 연대기, 연표",That history book gives a chronology of battles in World War I.,저 역사책에는 제1차 세계 대전의 연대표가 실려 있다.
politics,,정치(학); 정치 운동; 정략,These figures indicate three in five college freshmen are indifferent to politics.,이 수치는 대학 신입생 다섯 중 셋은 정치에 무관심하다는 것을 가리킨다.
government,,"정부, 내각; 통치(권), 지배(권); (공공 기관의) 관리, 지배",The government says it will not negotiate with the terrorists.,정부는 테러 분자들과 협상을 하지 않을 것이라고 한다.
policy,,"정책, 방침; 경영[관리]법 ; 보험 증권",Thousands demonstrated against the policy.,수천 명이 그 정책에 반대하는 시위를 했다.
appoint,"nominate, assign","임명하다, 지명하다; 정하다",I wonder if they'll appoint him as their new marketing manager.,그들이 그를 신임 마케팅 매니저로 임명할지 궁금하다.
vote,elect,"투표하다; 선출하다; (명) 투표, 표결, 투표수",We demand the right to vote and decide our own fate.,우리는 투표를 함으로써 우리 자신의 운명을 결정할 권리를 요구한다.
elect,,"선거하다, 선출하다",We elected him (to be) chairman.,우리는 그를 의장으로 선출했다.
